addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3
경기도 의정부시 민락로 210 (민락동),,,,,,2930618,38,20221101145625,https://tong.visitkorea.or.kr/cms/resource/44/4020144_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/44/4020144_image3_1.jpg,Type3,127.102364149255,37.7431843082026,6.0,20260327092150,,,이마트 의정부점,11814,41,150.0,SH,SH04,SH040300
"경기도 고양시 일산동구 중앙로 1124 (백석동, 흰돌마을1단지아파트)",,,,,,2913966,38,20221101145123,https://tong.visitkorea.or.kr/cms/resource/65/4043265_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/65/4043265_image3_1.jpg,Type3,126.78225569195,37.6480881663195,6.0,20260327092150,,,이마트 일산점,10421,41,285.0,SH,SH04,SH040300
경기도 남양주시 진접읍 금강로유연들1길 154,,,,,,2930938,38,20221101154756,https://tong.visitkorea.or.kr/cms/resource/86/4020386_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/86/4020386_image3_1.jpg,Type3,127.182031057054,37.7088311438273,6.0,20260316105417,,,이마트 진접점,12073,41,360.0,SH,SH04,SH040300
경기도 파주시 한울로 123 (동패동),,,,,,2917242,38,20221101145206,https://tong.visitkorea.or.kr/cms/resource/19/4044619_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/19/4044619_image3_1.jpg,Type3,126.745102298599,37.7103886992595,6.0,20260327092150,,,이마트 파주운정점,10905,41,480.0,SH,SH04,SH040300
경기도 고양시 일산동구 무궁화로 237 (중산동),,,,,,2929198,38,20221101154813,https://tong.visitkorea.or.kr/cms/resource/20/4045520_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/20/4045520_image3_1.jpg,Type3,126.78714142109,37.6738531249954,6.0,20260327092150,,,이마트 풍산점,10311,41,285.0,SH,SH04,SH040300
경기도 가평군 가평읍 하색리,산81,,,,,921156,12,20100113191501,https://tong.visitkorea.or.kr/cms/resource/92/3520192_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/92/3520192_image3_1.jpg,Type1,127.4868,37.8106,6.0,20260319173543,,,이방실장군묘,12424,41,820.0,HS,HS01,HS010800
경기도 고양시 덕양구 고양대로 1955 (동산동),B1층,,,,,2930536,38,20221101075144,https://tong.visitkorea.or.kr/cms/resource/84/4018784_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/84/4018784_image3_1.jpg,Type3,126.89477806511,37.6469771187284,6.0,20260319094959,,,이새 스타필드 고양점,10595,41,281.0,SH,SH04,SH040300
경기도 남양주시 경춘로 946 (금곡동),,31.0,A02,A0202,A02020700,3012121,12,20230919102249,http://tong.visitkorea.or.kr/cms/resource/07/3002207_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/07/3002207_image3_1.JPG,Type3,127.2066788984,37.6328784311,6.0,20250806103117,9.0,,이석영광장,12238,41,360.0,VE,VE03,VE030500
경기도 고양시 덕양구 고양대로 1955 (동산동),1층,,,,,4025031,38,20260225202625,https://tong.visitkorea.or.kr/cms/resource/72/4045872_image2_1.png,https://tong.visitkorea.or.kr/cms/resource/72/4045872_image3_1.png,Type3,126.89477806511,37.6469771187284,,20260330091611,,,이솝 스타필드 고양점,10595,41,281.0,SH,SH04,SH040300
경기도 가평군 상면 태봉리,산115-1,,,,,1200953,12,20110210215226,https://tong.visitkorea.or.kr/cms/resource/86/3520186_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/86/3520186_image3_1.jpg,Type1,127.3326,37.8043,6.0,20260318101005,,,이정구선생묘 및 삼세신도비,12442,41,820.0,HS,HS01,HS010800
